,School Name,Department,Country,State/City
1,Fudan University,Physics,CHINA,Shanghai
2,National University of Ireland Galway,School of Physics,IRELAND,-
3,University of Alaska Fairbanks,Physics,USA,AK
4,Alabama A&M University,Physics,USA,AL
5,Auburn University,Physics,USA,AL
6,University of Alabama at Birmingham,Physics,USA,AL
7,"University of Alabama, Tuscaloosa",Physics & Astronomy,USA,AL
8,Arizona State University,Physics & Astronomy,USA,AZ
9,Northern Arizona University,Physics,USA,AZ
10,University of Arizona,Optical Sciences,USA,AZ
11,University of Arizona,Physics,USA,AZ
12,"California State University, Long Beach",Physics & Astronomy,USA,CA
13,San Diego State University,Physics,USA,CA
14,San Jose State University,Physics,USA,CA
15,Stanford University,Applied Physics,USA,CA
16,Stanford University,Physics,USA,CA
17,University of California Merced,Physics,USA,CA
18,"University of California, Berkeley",Physics,USA,CA
19,"University of California, Davis",Physics,USA,CA
20,"University of California, Irvine",Physics,USA,CA
21,"University of California, Riverside",Physics & Astronomy,USA,CA
22,"University of California, San Diego",Physics,USA,CA
23,"University of California, Santa Barbara",Physics,USA,CA
24,"University of California, Santa Cruz",Physics,USA,CA
25,University of Southern California,Physics & Astronomy,USA,CA
26,Colorado School of Mines,Physics,USA,CO
27,Colorado State University,Physics,USA,CO
28,"University of Colorado, Boulder",Physics,USA,CO
29,"University of Colorado, Colorado Springs",Physics,USA,CO
30,University of Denver,Physics,USA,CO
31,Southern Connecticut State University,Physics,USA,CT
32,University of Connecticut,Physics,USA,CT
33,Wesleyan University,Physics,USA,CT
34,George Washington University,Physics,USA,DC
35,Georgetown University,Physics,USA,DC
36,University of Delaware,Physics & Astronomy,USA,DE
37,Florida Atlantic University,Physics,USA,FL
38,Florida International University,Physics,USA,FL
39,Florida State University,Physics,USA,FL
40,University of Central Florida,"CREOL, The College of Optics & Photonics",USA,FL
41,University of Central Florida,Physics,USA,FL
42,University of Florida,Physics,USA,FL
43,University of South Florida,Physics,USA,FL
44,Emory University,Physics,USA,GA
45,Georgia Institute of Technology,Physics,USA,GA
46,Georgia State University,Physics & Astronomy,USA,GA
47,Iowa State University,Physics and Astronomy,USA,IA
48,University of Iowa,Physics & Astronomy,USA,IA
49,DePaul University,Physics,USA,IL
50,Illinois Institute of Technology,Physics,USA,IL
51,Northern Illinois University,Physics,USA,IL
52,Northwestern University,Physics & Astronomy,USA,IL
53,University of Chicago,Astronomy & Astrophysics,USA,IL
54,University of Chicago,Physics,USA,IL
55,"University of Illinois, Chicago",Physics,USA,IL
56,"University of Illinois, Urbana-Champaign",Physics,USA,IL
57,Indiana University - Purdue University Indianapolis,Physics,USA,IN
58,"Indiana University, Bloomington",Astronomy,USA,IN
59,"Indiana University, Bloomington",Physics,USA,IN
60,Purdue Universty,Physics,USA,IN
61,University of Notre Dame,Physics,USA,IN
62,Kansas State University,Physics,USA,KS
63,University of Kansas,Physics & Astronomy,USA,KS
64,University of Kentucky,Physics & Astronomy,USA,KY
65,Boston College,Physics,USA,MA
66,Boston University,Physics,USA,MA
67,Clark University,Physics,USA,MA
68,Harvard University,Physics,USA,MA
69,Massachusetts Institute of Technology,"Earth, Atmospheric & Planetary Sciences",USA,MA
70,Massachusetts Institute of Technology,Physics,USA,MA
71,Northeastern University,Physics,USA,MA
72,"University of Massachusetts, Amherst",Physics,USA,MA
73,"University of Massachusetts, Lowell",Physics & Applied Physics,USA,MA
74,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,USA,MD
75,"University of Maryland, Baltimore County",Physics Graduate Program,USA,MD
76,"University of Maryland, College Park",Astronomy,USA,MD
77,University of Maine,Physics and Astronomy,USA,ME
78,Central Michigan University,Physics,USA,MI
79,Eastern Michigan University,Physics and Astronomy,USA,MI
80,Michigan Technological University,Physics,USA,MI
81,Oakland University,Physics,USA,MI
82,Wayne State University,Physics and Astronomy,USA,MI
83,Western Michigan University,Physics,USA,MI
84,"University of Minnesota, Duluth",Physics,USA,MN
85,Missouri University of Science & Technology,Physics,USA,MO
86,"University of Missouri, Columbia",Physics & Astronomy,USA,MO
87,Washington University in St. Louis,Physics,USA,MO
88,Mississippi State University,Physics & Astronomy,USA,MS
89,University of Mississippi,Physics & Astronomy,USA,MS
90,"Montana State University, Bozeman",Physics,USA,MT
91,Montana Tech,Geosciences & Engineering,USA,MT
92,Montana Tech of the University of Montana,Materials Science PhD Program,USA,MT
93,Appalachian State University,Physics and Astronomy,USA,NC
94,Duke University,Physics,USA,NC
95,East Carolina University,Physics,USA,NC
96,"North Carolina State University, Raleigh",Physics,USA,NC
97,"University of North Carolina, Chapel Hill",Physics & Astronomy,USA,NC
98,Wake Forest University,Physics,USA,NC
99,North Dakota State University,Physics,USA,ND
100,Creighton University,Physics,USA,NE
101,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,USA,NE
102,"University of Nebraska, Lincoln",Physics & Astronomy,USA,NE
103,University of New Hampshire,Physics,USA,NH
104,New Jersey Institute of Technology,Physics,USA,NJ
105,Princeton University,Physics,USA,NJ
106,"Rutgers University, New Brunswick",Physics & Astronomy,USA,NJ
107,Seton Hall University,Physics,USA,NJ
108,Stevens Institute of Technology,Physics And Engineering Physics,USA,NJ
109,New Mexico State University,Astronomy,USA,NM
110,New Mexico State University,Physics,USA,NM
111,"University of Nevada, Las Vegas",Physics,USA,NV
112,"University of Nevada, Reno",Physics,USA,NV
113,Columbia University,Physics,USA,NY
114,Cornell University,Physics,USA,NY
115,Rensselaer Polytechnic Institute,"Physics, Applied Physics, Astronomy",USA,NY
116,"State University of New York (SUNY), Albany",Physics,USA,NY
117,"State University of New York (SUNY), Binghamton","Physics, Applied Physics & Astronomy",USA,NY
118,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,USA,NY
119,"State University of New York (SUNY), Univ. at Buffalo",Physics,USA,NY
120,Syracuse University,Physics,USA,NY
121,The Graduate Center - The City University of New York,Ph.D. Program in Physics,USA,NY
122,University of Rochester,Physics & Astronomy,USA,NY
123,University of Rochester,The Institute of Optics,USA,NY
124,Bowling Green State University,Physics & Astronomy,USA,OH
125,Case Western Reserve University,Astronomy,USA,OH
126,Case Western Reserve University,Physics,USA,OH
127,Kent State University,Chemical Physics,USA,OH
128,Kent State University,Department of Physics,USA,OH
129,Miami University,Physics,USA,OH
130,Ohio State University,Physics,USA,OH
131,Ohio University,Physics and Astronomy,USA,OH
132,University of Cincinnati,Physics,USA,OH
133,University of Dayton,Electro-Optics Program,USA,OH
134,Oklahoma State University,Physics,USA,OK
135,University of Oklahoma,Physics & Astronomy,USA,OK
136,University of Tulsa,Phys. & Eng. Phys.,USA,OK
137,Oregon State University,Physics,USA,OR
138,Portland State University,Physics,USA,OR
139,University of Oregon,Physics,USA,OR
140,Bryn Mawr College,Physics,USA,PA
141,Carnegie Mellon University,Physics,USA,PA
142,Drexel University,Physics,USA,PA
143,Lehigh University,Physics,USA,PA
144,Pennsylvania State University,Physics,USA,PA
